P,e-puck(2),-0.148969,-0.692509,0.000000,0.000000
R,e-puck(2),175.595492,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.304067,-0.421099,-0.148969,-0.692509
V,e-puck(2),-0.010575,-0.213505,-0.880367,-0.151325
P,e-puck(2),-0.148645,-0.692612,0.000000,0.000000
R,e-puck(2),175.126038,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.245210,-0.456318,-0.148645,-0.692612
V,e-puck(2),-0.010236,-0.210375,-0.858505,-0.140152
P,e-puck(2),-0.148317,-0.692718,0.000000,0.000000
R,e-puck(2),174.663442,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.291327,-0.428328,-0.148317,-0.692718
V,e-puck(2),-0.010947,-0.229093,-0.925114,-0.142846
P,e-puck(2),-0.147985,-0.692833,0.000000,0.000000
R,e-puck(2),174.159705,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.366664,-0.382717,-0.147985,-0.692833
V,e-puck(2),-0.011927,-0.254558,-1.016436,-0.147215
P,e-puck(2),-0.147649,-0.692961,0.000000,0.000000
R,e-puck(2),173.599984,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.257298,-0.448461,-0.147649,-0.692961
V,e-puck(2),-0.011060,-0.240949,-0.950904,-0.128153
P,e-puck(2),-0.147309,-0.693089,0.000000,0.000000
R,e-puck(2),173.069665,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.197114,-0.484728,-0.147309,-0.693089
V,e-puck(2),-0.010686,-0.237361,-0.926516,-0.116015
P,e-puck(2),-0.146964,-0.693219,0.000000,0.000000
R,e-puck(2),172.546835,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.147260,-0.514273,-0.146964,-0.693219
V,e-puck(2),-0.010412,-0.235925,-0.910717,-0.105119
P,e-puck(2),-0.146615,-0.693353,0.000000,0.000000
R,e-puck(2),172.026948,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.243976,-0.455695,-0.146615,-0.693353
V,e-puck(2),-0.011551,-0.266984,-1.019312,-0.107661
P,e-puck(2),-0.146267,-0.693501,0.000000,0.000000
R,e-puck(2),171.438645,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.346817,-0.393045,-0.146267,-0.693501
V,e-puck(2),-0.012714,-0.300521,-1.133280,-0.107111
P,e-puck(2),-0.145919,-0.693666,0.000000,0.000000
R,e-puck(2),170.776432,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.295130,-0.424341,-0.145919,-0.693666
V,e-puck(2),-0.012373,-0.299512,-1.114938,-0.092215
P,e-puck(2),-0.145570,-0.693835,0.000000,0.000000
R,e-puck(2),170.116248,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.238085,-0.459449,-0.145570,-0.693835
V,e-puck(2),-0.011983,-0.296821,-1.091323,-0.077786
P,e-puck(2),-0.145218,-0.694008,0.000000,0.000000
R,e-puck(2),169.461900,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.138087,-0.519313,-0.145218,-0.694008
V,e-puck(2),-0.011194,-0.284034,-1.031003,-0.061132
P,e-puck(2),-0.144864,-0.694182,0.000000,0.000000
R,e-puck(2),168.835690,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.080478,-0.554639,-0.144864,-0.694182
V,e-puck(2),-0.010811,-0.280369,-1.006034,-0.048678
P,e-puck(2),-0.144509,-0.694358,0.000000,0.000000
R,e-puck(2),168.217640,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.030178,-0.584795,-0.144509,-0.694358
V,e-puck(2),-0.010495,-0.278382,-0.987226,-0.036653
P,e-puck(2),-0.144156,-0.694538,0.000000,0.000000
R,e-puck(2),167.604087,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.175234,-0.497989,-0.144156,-0.694538
V,e-puck(2),-0.011942,-0.323600,-1.135009,-0.030032
P,e-puck(2),-0.143823,-0.694735,0.000000,0.000000
R,e-puck(2),166.891172,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.145558,-0.516360,-0.143823,-0.694735
V,e-puck(2),-0.011775,-0.327164,-1.132939,-0.015795
P,e-puck(2),-0.143497,-0.694937,0.000000,0.000000
R,e-puck(2),166.170384,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.210361,-0.476310,-0.143497,-0.694937
V,e-puck(2),-0.012429,-0.354739,-1.211950,-0.000647
P,e-puck(2),-0.143178,-0.695152,0.000000,0.000000
R,e-puck(2),165.388932,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.264261,-0.442265,-0.143178,-0.695152
V,e-puck(2),-0.012948,-0.380564,-1.281368,0.018118
P,e-puck(2),-0.142866,-0.695379,0.000000,0.000000
R,e-puck(2),164.550614,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.195906,-0.484084,-0.142866,-0.695379
V,e-puck(2),-0.012390,-0.375060,-1.244742,0.035950
P,e-puck(2),-0.142555,-0.695610,0.000000,0.000000
R,e-puck(2),163.724335,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.200045,-0.480775,-0.142555,-0.695610
V,e-puck(2),-0.012446,-0.388372,-1.270208,0.055940
P,e-puck(2),-0.142246,-0.695850,0.000000,0.000000
R,e-puck(2),162.868786,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.303960,-0.417504,-0.142246,-0.695850
V,e-puck(2),-0.013308,-0.428267,-1.380360,0.082014
P,e-puck(2),-0.141940,-0.696110,0.000000,0.000000
R,e-puck(2),161.925467,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.203854,-0.478022,-0.141940,-0.696110
V,e-puck(2),-0.012449,-0.414540,-1.315016,0.100487
P,e-puck(2),-0.141618,-0.696377,0.000000,0.000000
R,e-puck(2),161.012250,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.188861,-0.487089,-0.141618,-0.696377
V,e-puck(2),-0.012292,-0.423084,-1.321955,0.122721
P,e-puck(2),-0.141294,-0.696654,0.000000,0.000000
R,e-puck(2),160.080278,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.223911,-0.464887,-0.141294,-0.696654
V,e-puck(2),-0.012509,-0.445751,-1.371225,0.150852
P,e-puck(2),-0.140971,-0.696947,0.000000,0.000000
R,e-puck(2),159.098476,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.198569,-0.480567,-0.140971,-0.696947
V,e-puck(2),-0.012230,-0.451679,-1.367746,0.174571
P,e-puck(2),-0.140649,-0.697249,0.000000,0.000000
R,e-puck(2),158.103646,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.153326,-0.510240,-0.140649,-0.697249
V,e-puck(2),-0.011801,-0.451277,-1.346139,0.194806
P,e-puck(2),-0.140329,-0.697559,0.000000,0.000000
R,e-puck(2),157.109773,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.239160,-0.457415,-0.140329,-0.697559
V,e-puck(2),-0.012318,-0.489102,-1.435914,0.234190
P,e-puck(2),-0.140018,-0.697888,0.000000,0.000000
R,e-puck(2),156.032732,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.340172,-0.394636,-0.140018,-0.697888
V,e-puck(2),-0.012867,-0.532670,-1.537107,0.281766
P,e-puck(2),-0.139721,-0.698238,0.000000,0.000000
R,e-puck(2),154.859741,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.279310,-0.430843,-0.139721,-0.698238
V,e-puck(2),-0.012217,-0.529441,-1.499855,0.307993
P,e-puck(2),-0.139462,-0.698578,0.000000,0.000000
R,e-puck(2),153.693789,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.301809,-0.418614,-0.139462,-0.698578
V,e-puck(2),-0.012143,-0.549991,-1.531369,0.346651
P,e-puck(2),-0.139215,-0.698929,0.000000,0.000000
R,e-puck(2),152.482591,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.193915,-0.485163,-0.139215,-0.698929
V,e-puck(2),-0.011186,-0.531343,-1.452806,0.361535
P,e-puck(2),-0.139000,-0.699266,0.000000,0.000000
R,e-puck(2),151.312531,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.205583,-0.476413,-0.139000,-0.699266
V,e-puck(2),-0.011004,-0.549027,-1.474123,0.400605
P,e-puck(2),-0.138799,-0.699610,0.000000,0.000000
R,e-puck(2),150.103674,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.308492,-0.414258,-0.138799,-0.699610
V,e-puck(2),-0.011344,-0.594747,-1.568792,0.462052
P,e-puck(2),-0.138615,-0.699972,0.000000,0.000000
R,e-puck(2),148.794179,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.374392,-0.374607,-0.138615,-0.699972
V,e-puck(2),-0.011368,-0.629950,-1.630067,0.520982
P,e-puck(2),-0.138445,-0.700349,0.000000,0.000000
R,e-puck(2),147.407069,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.295489,-0.421618,-0.138445,-0.700349
V,e-puck(2),-0.010508,-0.619969,-1.571047,0.545921
P,e-puck(2),-0.138282,-0.700728,0.000000,0.000000
R,e-puck(2),146.041894,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.191012,-0.486818,-0.138282,-0.700728
V,e-puck(2),-0.009560,-0.600080,-1.490870,0.558184
P,e-puck(2),-0.138124,-0.701105,0.000000,0.000000
R,e-puck(2),144.720706,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.238883,-0.453341,-0.138124,-0.701105
V,e-puck(2),-0.009383,-0.630223,-1.533688,0.618295
P,e-puck(2),-0.138030,-0.701460,0.000000,0.000000
R,e-puck(2),143.333322,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.317640,-0.406512,-0.138030,-0.701460
V,e-puck(2),-0.009313,-0.669538,-1.597417,0.688809
P,e-puck(2),-0.137955,-0.701828,0.000000,0.000000
R,e-puck(2),141.859353,0.000000,0.000000,0.000000
F,e-puck(2),0.501568,0.297884,0.414281,-0.355324
U,e-puck(2),0.310974,-0.408113,-0.137955,-0.701828
V,e-puck(2),-0.008747,-0.681835,-1.590806,0.737411
