P,e-puck,-0.367264,0.451061,0.000000,0.000000
R,e-puck,179.981560,0.000000,0.000000,0.000000
F,e-puck,0.338339,0.338339,-0.367264,0.451061
U,e-puck,-0.367264,0.451061,-0.367264,0.451061
Z,e-puck,0.000000,-3.141271,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366972,0.450749,0.000000,0.000000
R,e-puck,179.976970,0.000000,0.000000,0.000000
F,e-puck,0.337843,0.337843,-0.366972,0.450749
U,e-puck,-0.366972,0.450749,-0.366972,0.450749
Z,e-puck,0.000000,-3.141191,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366888,0.450685,0.000000,0.000000
R,e-puck,179.976831,0.000000,0.000000,0.000000
F,e-puck,0.337724,0.337724,-0.366888,0.450685
U,e-puck,-0.366888,0.450685,-0.366888,0.450685
Z,e-puck,0.000000,-3.141188,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366831,0.450635,0.000000,0.000000
R,e-puck,179.976985,0.000000,0.000000,0.000000
F,e-puck,0.337636,0.337636,-0.366831,0.450635
U,e-puck,-0.366831,0.450635,-0.366831,0.450635
Z,e-puck,0.000000,-3.141191,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366785,0.450594,0.000000,0.000000
R,e-puck,179.977224,0.000000,0.000000,0.000000
F,e-puck,0.337567,0.337567,-0.366785,0.450594
U,e-puck,-0.366785,0.450594,-0.366785,0.450594
Z,e-puck,0.000000,-3.141195,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366749,0.450562,0.000000,0.000000
R,e-puck,179.977491,0.000000,0.000000,0.000000
F,e-puck,0.337511,0.337511,-0.366749,0.450562
U,e-puck,-0.366749,0.450562,-0.366749,0.450562
Z,e-puck,0.000000,-3.141200,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366720,0.450536,0.000000,0.000000
R,e-puck,179.977751,0.000000,0.000000,0.000000
F,e-puck,0.337466,0.337466,-0.366720,0.450536
U,e-puck,-0.366720,0.450536,-0.366720,0.450536
Z,e-puck,0.000000,-3.141204,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
P,e-puck,-0.366697,0.450516,0.000000,0.000000
R,e-puck,179.977991,0.000000,0.000000,0.000000
F,e-puck,0.337431,0.337431,-0.366697,0.450516
U,e-puck,-0.366697,0.450516,-0.366697,0.450516
Z,e-puck,0.000000,-3.141209,0.000000,0.000000
V,e-puck,0.000000,0.000000,0.000000,0.000000
